BIEN1002, 34, [s10004 s10009 s100018 s100020 s100025 s100032 s100052 s100058 s100064 s100066 s100067 s100070 s100076 s100085 s100090 s100094 s1000100 s1000103 s1000104 s1000116 s1000121 s1000131 s1000134 s1000150 s1000151 s1000156 s1000159 s1000165 s1000169 s1000173 s1000177 s1000178 s1000184 s1000191], [s100033 s100038 s100040 s100043 s100046 s100059 s100078 s100096 s1000101 s1000111 s1000146 s100013 s100024 s100031 s100054 s100079 s1000128 s1000153 s1000180 s1000182 s1000188 s1000199 s100073 s100080 s1000106 s1000124 s1000139 s1000158 s1000162 s1000189 s100014 s100089 s1000155 s1000164 s1000166]
MATH1000, 47, [s10003 s100012 s100021 s100024 s100026 s100037 s100040 s100050 s100056 s100058 s100069 s100071 s100074 s100076 s100077 s100084 s100088 s100089 s100093 s1000101 s1000103 s1000113 s1000117 s1000118 s1000123 s1000125 s1000128 s1000130 s1000133 s1000136 s1000141 s1000145 s1000149 s1000153 s1000155 s1000162 s1000164 s1000166 s1000167 s1000171 s1000186 s1000189 s1000190 s1000196 s1000197 s1000198 s1000200], []
COMP2011, 10, [], []
ELEC3000, 10, [], []
COMP3021, 10, [], []
ELEC1001, 10, [], []
MECH1000, 10, [], []
ELEC1002, 10, [], []
MECH1001, 46, [s10001 s10007 s10009 s100010 s100014 s100018 s100023 s100029 s100037 s100041 s100045 s100075 s100080 s100082 s100083 s100084 s100089 s100092 s100099 s1000100 s1000106 s1000109 s1000110 s1000111 s1000122 s1000124 s1000126 s1000128 s1000130 s1000144 s1000146 s1000148 s1000152 s1000158 s1000161 s1000171 s1000175 s1000176 s1000178 s1000179 s1000182 s1000183 s1000194 s1000196 s1000198 s1000200], []
PHYS2000, 10, [], []
BIEN3010, 10, [], []
MATH1001, 10, [], []
MATH1002, 36, [s10002 s10006 s100015 s100016 s100024 s100026 s100033 s100034 s100039 s100046 s100052 s100054 s100062 s100069 s100078 s100085 s100091 s100095 s1000111 s1000112 s1000115 s1000125 s1000132 s1000134 s1000139 s1000142 s1000145 s1000157 s1000160 s1000163 s1000167 s1000169 s1000175 s1000185 s1000187 s1000195], [s100058 s100066 s100067 s100079 s100083 s1000100 s1000104 s1000113 s1000114 s1000128 s1000166 s100010 s100014 s100021 s100027 s100037 s100043 s100073 s100075 s100080 s100087 s100094 s100096 s100098 s1000108 s1000137 s1000148 s1000151 s1000165 s100011 s100013 s100031 s1000103 s1000152 s1000153 s1000159 s1000174 s1000180 s1000196 s100032 s100050 s1000119 s1000158 s1000192 s100089]
PPOL2000, 10, [], []
